Holtsville,NY,00544,US
Adjuntas,PR,00601,US
Aguada,PR,00602,US
Aguadilla,PR,00603,US
Aguadilla,PR,00604,US
Aguadilla,PR,00605,US
Maricao,PR,00606,US
Anasco,PR,00610,US
Angeles,PR,00611,US
Arecibo,PR,00612,US
Arecibo,PR,00613,US
Arecibo,PR,00614,US
Bajadero,PR,00616,US
Barceloneta,PR,00617,US
Boqueron,PR,00622,US
Cabo Rojo,PR,00623,US
Penuelas,PR,00624,US
Camuy,PR,00627,US
Castaner,PR,00631,US
Rosario,PR,00636,US
Sabana Grande,PR,00637,US
Ciales,PR,00638,US
Utuado,PR,00641,US
Dorado,PR,00646,US
Ensenada,PR,00647,US
Florida,PR,00650,US
Garrochales,PR,00652,US
Guanica,PR,00653,US
Guayanilla,PR,00656,US
Hatillo,PR,00659,US
Hormigueros,PR,00660,US
Isabela,PR,00662,US
Jayuya,PR,00664,US
Lajas,PR,00667,US
Lares,PR,00669,US
Las Marias,PR,00670,US
Manati,PR,00674,US
Moca,PR,00676,US
Rincon,PR,00677,US
Quebradillas,PR,00678,US
Mayaguez,PR,00680,US
Mayaguez,PR,00681,US
Mayaguez,PR,00682,US
San German,PR,00683,US
San Sebastian,PR,00685,US
Morovis,PR,00687,US
Sabana Hoyos,PR,00688,US
San Antonio,PR,00690,US
Vega Alta,PR,00692,US
Vega Baja,PR,00693,US
Vega Baja,PR,00694,US
Yauco,PR,00698,US
Aguas Buenas,PR,00703,US
Aguirre,PR,00704,US
Aibonito,PR,00705,US
Maunabo,PR,00707,US
Arroyo,PR,00714,US
Mercedita,PR,00715,US
Ponce,PR,00716,US
Ponce,PR,00717,US
Naguabo,PR,00718,US
Naranjito,PR,00719,US
Orocovis,PR,00720,US
Palmer,PR,00721,US
Patillas,PR,00723,US
Caguas,PR,00725,US
Caguas,PR,00726,US
Caguas,PR,00727,US
Ponce,PR,00728,US
Canovanas,PR,00729,US
Ponce,PR,00730,US
Ponce,PR,00731,US
Ponce,PR,00732,US
Ponce,PR,00733,US
Ponce,PR,00734,US
Ceiba,PR,00735,US
Cayey,PR,00736,US
Cayey,PR,00737,US
Fajardo,PR,00738,US
Cidra,PR,00739,US
Puerto Real,PR,00740,US
Punta Santiago,PR,00741,US
Roosevelt Roads,PR,00742,US
Rio Blanco,PR,00744,US
Rio Grande,PR,00745,US
Salinas,PR,00751,US
San Lorenzo,PR,00754,US
Santa Isabel,PR,00757,US
Vieques,PR,00765,US
Villalba,PR,00766,US
Yabucoa,PR,00767,US
Coamo,PR,00769,US
Las Piedras,PR,00771,US
Loiza,PR,00772,US
Luquillo,PR,00773,US
Culebra,PR,00775,US
Juncos,PR,00777,US
Gurabo,PR,00778,US
Coto Laurel,PR,00780,US
Comerio,PR,00782,US
Corozal,PR,00783,US
Guayama,PR,00784,US
Guayama,PR,00785,US
La Plata,PR,00786,US
Humacao,PR,00791,US
Humacao,PR,00792,US
Barranquitas,PR,00794,US
Juana Diaz,PR,00795,US
St Thomas,VI,00801,US
St Thomas,VI,00802,US
St Thomas,VI,00803,US
St Thomas,VI,00804,US
St Thomas,VI,00805,US
Christiansted,VI,00820,US
Christiansted,VI,00821,US
Christiansted,VI,00822,US
Christiansted,VI,00823,US
Christiansted,VI,00824,US
St John,VI,00830,US
St John,VI,00831,US
Frederiksted,VI,00840,US
Frederiksted,VI,00841,US
Kingshill,VI,00850,US
Kingshill,VI,00851,US
San Juan,PR,00901,US
San Juan,PR,00902,US
San Juan,PR,00906,US
San Juan,PR,00907,US
San Juan,PR,00908,US
San Juan,PR,00909,US
San Juan,PR,00910,US
San Juan,PR,00911,US
San Juan,PR,00912,US
San Juan,PR,00913,US
San Juan,PR,00914,US
San Juan,PR,00915,US
San Juan,PR,00916,US
San Juan,PR,00917,US
San Juan,PR,00918,US
San Juan,PR,00919,US
San Juan,PR,00920,US
San Juan,PR,00921,US
San Juan,PR,00922,US
San Juan,PR,00923,US
San Juan,PR,00924,US
San Juan,PR,00925,US
San Juan,PR,00926,US
San Juan,PR,00927,US
San Juan,PR,00928,US
San Juan,PR,00929,US
San Juan,PR,00930,US
San Juan,PR,00931,US
